Date,Open,High,Low,Close,Adj Close,Volume
2004-08-27,122.800003,122.800003,119.820000,120.332497,88.088272,30646000
2004-08-30,121.237503,123.750000,120.625000,123.345001,90.293549,24465208
2004-08-31,123.312500,123.750000,122.000000,123.512497,90.416122,21194656
2004-09-01,123.750000,124.375000,122.949997,123.487503,90.397820,19935544
2004-09-02,123.737503,125.574997,123.250000,124.207497,90.924896,21356352
2004-09-03,125.750000,137.500000,123.794998,124.732498,91.309212,9869856
2004-09-06,129.987503,129.987503,124.112503,124.357498,91.034721,9038672
2004-09-07,129.375000,129.375000,124.375000,124.449997,91.102440,5772232
2004-09-08,124.500000,125.099998,123.887497,124.212502,90.928566,6593984
2004-09-09,124.625000,124.737503,122.307503,122.495003,89.671310,7947184
2004-09-10,123.750000,123.750000,122.000000,123.599998,90.480194,6415072
2004-09-13,123.875000,126.937500,123.875000,125.437500,91.825348,20904912
2004-09-14,125.625000,127.349998,125.370003,126.957497,92.938019,15335472
2004-09-15,127.250000,127.500000,125.150002,125.762497,92.063225,11988288
2004-09-16,125.875000,126.875000,125.312500,126.057503,92.279190,7358224
2004-09-17,126.500000,128.737503,126.287498,128.062500,93.746925,14627896
2004-09-20,129.050003,129.612503,127.519997,127.862503,93.600525,8552224
2004-09-21,128.107498,131.062500,127.750000,130.725006,95.696022,13897080
2004-09-22,131.050003,132.000000,129.637497,131.507507,96.268822,15371584
2004-09-23,131.000000,131.125000,128.375000,128.782501,94.273994,15819680
2004-09-24,128.637497,130.000000,128.250000,128.600006,94.140434,8083208
2004-09-27,128.437500,129.062500,126.875000,127.595001,93.404694,8229512
2004-09-28,127.000000,128.425003,126.562500,126.945000,92.928886,6339416
2004-09-29,127.407501,129.125000,127.019997,128.875000,94.341721,11737176
2004-09-30,129.449997,130.112503,127.582497,128.387497,93.984879,12521432
2004-10-01,128.625000,132.057495,128.294998,130.962494,95.869812,10968888
2004-10-04,132.125000,135.125000,131.807495,134.562500,98.505196,15129824
2004-10-05,135.037506,136.125000,134.437500,135.087494,98.889496,14341288
2004-10-06,135.125000,137.850006,134.382507,135.199997,98.971901,17670664
2004-10-07,135.375000,137.500000,135.375000,137.137497,100.390190,10080128
2004-10-08,137.250000,138.875000,136.875000,137.257507,100.478027,8558920
2004-10-11,137.500000,138.937500,135.625000,136.162506,99.676476,9332056
2004-10-12,138.750000,139.375000,134.707504,135.557495,99.233604,15600512
2004-10-13,null,null,null,null,null,null
2004-10-14,137.875000,140.500000,136.007507,139.524994,102.137901,19225984
2004-10-15,140.212494,142.625000,139.657501,140.750000,103.034683,17799744
2004-10-18,141.750000,142.750000,140.657501,142.157501,104.065033,13693344
2004-10-19,142.520004,143.587494,142.012497,142.899994,104.608589,11767128
2004-10-20,143.100006,143.737503,141.125000,141.657501,103.699043,7206832
2004-10-21,142.157501,142.375000,140.250000,140.695007,102.994453,6413520
2004-10-22,140.695007,140.695007,140.695007,140.695007,102.994453,0
2004-10-25,140.625000,140.875000,138.845001,139.669998,102.244118,9390272
2004-10-26,139.449997,142.619995,139.449997,142.149994,104.059525,6932760
2004-10-27,142.782501,143.500000,141.899994,142.487503,104.306648,7837656
2004-10-28,143.125000,146.850006,143.125000,145.744995,106.972786,18591416
2004-10-29,145.994995,145.994995,143.145004,144.532501,106.082848,8661776
2004-11-01,143.750000,146.807495,142.787506,146.332504,107.403969,6137568
2004-11-02,141.250000,147.470001,140.625000,144.962494,106.398438,8864040
2004-11-03,145.125000,148.000000,145.125000,146.899994,107.820518,8978136
2004-11-04,147.720001,148.487503,145.962494,146.300003,107.380135,6555808
2004-11-05,146.744995,147.500000,145.000000,145.682495,106.926910,5023848
2004-11-08,145.625000,148.612503,144.500000,148.020004,108.642548,10291728
2004-11-09,148.375000,149.737503,147.125000,148.550003,109.031570,7338712
2004-11-10,148.875000,149.875000,148.762497,149.294998,109.578323,5734392
2004-11-11,149.875000,150.425003,148.887497,149.532501,109.752693,5235128
2004-11-12,150.500000,151.000000,148.774994,149.595001,109.798546,1813408
2004-11-15,149.595001,149.595001,149.595001,149.595001,109.798546,0
2004-11-16,149.750000,149.750000,148.000000,148.862503,109.260948,4005504
2004-11-17,148.937500,151.237503,148.937500,150.675003,110.591225,5467936
